Date,RealEntry,Units
2015-01-01,160313834,kWh/d
2015-01-02,160313834,kWh/d
2015-01-03,160313834,kWh/d
2015-01-04,160313834,kWh/d
2015-01-05,160313834,kWh/d
2015-01-06,160313834,kWh/d
2015-01-07,160313834,kWh/d
2015-01-08,160313834,kWh/d
2015-01-09,160313834,kWh/d
2015-01-10,160313834,kWh/d
2015-01-11,160313834,kWh/d
2015-01-12,160313834,kWh/d
2015-01-13,160313834,kWh/d
2015-01-14,160313834,kWh/d
2015-01-15,160313834,kWh/d
2015-01-16,160313834,kWh/d
2015-01-17,160313834,kWh/d
2015-01-18,160313834,kWh/d
2015-01-19,160313834,kWh/d
2015-01-20,160313834,kWh/d
2015-01-21,160313834,kWh/d
2015-01-22,160313834,kWh/d
2015-01-23,160313834,kWh/d
2015-01-24,160313834,kWh/d
2015-01-25,160313834,kWh/d
2015-01-26,160313834,kWh/d
2015-01-27,160313834,kWh/d
2015-01-28,160313834,kWh/d
2015-01-29,160313834,kWh/d
2015-01-30,160313834,kWh/d
2015-01-31,160313834,kWh/d
2015-02-01,161065154,kWh/d
2015-02-02,161065154,kWh/d
2015-02-03,161065154,kWh/d
2015-02-04,161065154,kWh/d
2015-02-05,161065154,kWh/d
2015-02-06,161065154,kWh/d
2015-02-07,161065154,kWh/d
2015-02-08,161065154,kWh/d
2015-02-09,161065154,kWh/d
2015-02-10,161065154,kWh/d
2015-02-11,161065154,kWh/d
2015-02-12,161065154,kWh/d
2015-02-13,161065154,kWh/d
2015-02-14,161065154,kWh/d
2015-02-15,161065154,kWh/d
2015-02-16,161065154,kWh/d
2015-02-17,161065154,kWh/d
2015-02-18,161065154,kWh/d
2015-02-19,161065154,kWh/d
2015-02-20,161065154,kWh/d
2015-02-21,161065154,kWh/d
2015-02-22,161065154,kWh/d
2015-02-23,161065154,kWh/d
2015-02-24,161065154,kWh/d
2015-02-25,161065154,kWh/d
2015-02-26,161065154,kWh/d
2015-02-27,161065154,kWh/d
2015-02-28,161065154,kWh/d
2015-03-01,161313840,kWh/d
2015-03-02,161313840,kWh/d
2015-03-03,161313840,kWh/d
2015-03-04,161313840,kWh/d
2015-03-05,161313840,kWh/d
2015-03-06,161313842,kWh/d
2015-03-07,161313840,kWh/d
2015-03-08,161313840,kWh/d
2015-03-09,161313840,kWh/d
2015-03-10,161313840,kWh/d
2015-03-11,161313840,kWh/d
2015-03-12,161313840,kWh/d
2015-03-13,161313842,kWh/d
2015-03-14,161313840,kWh/d
2015-03-15,161313840,kWh/d
2015-03-16,161313842,kWh/d
2015-03-17,161313840,kWh/d
2015-03-18,161313840,kWh/d
2015-03-19,161313840,kWh/d
2015-03-20,161313842,kWh/d
2015-03-21,161313842,kWh/d
2015-03-22,161313842,kWh/d
2015-03-23,161313842,kWh/d
2015-03-24,161313842,kWh/d
2015-03-25,161313842,kWh/d
2015-03-26,161313842,kWh/d
2015-03-27,161313842,kWh/d
