Date,RealExit,Units
2015-01-01,126172139,kWh/d
2015-01-02,126172139,kWh/d
2015-01-03,126172139,kWh/d
2015-01-04,126172139,kWh/d
2015-01-05,126172139,kWh/d
2015-01-06,126172139,kWh/d
2015-01-07,126172139,kWh/d
2015-01-08,126172139,kWh/d
2015-01-09,126172139,kWh/d
2015-01-10,126172139,kWh/d
2015-01-11,126172139,kWh/d
2015-01-12,126172139,kWh/d
2015-01-13,126172139,kWh/d
2015-01-14,126172139,kWh/d
2015-01-15,126172139,kWh/d
2015-01-16,126172139,kWh/d
2015-01-17,126172139,kWh/d
2015-01-18,126172139,kWh/d
2015-01-19,126172139,kWh/d
2015-01-20,126172139,kWh/d
2015-01-21,126172139,kWh/d
2015-01-22,126172139,kWh/d
2015-01-23,126172139,kWh/d
2015-01-24,126172139,kWh/d
2015-01-25,126172139,kWh/d
2015-01-26,126172139,kWh/d
2015-01-27,126172139,kWh/d
2015-01-28,126172139,kWh/d
2015-01-29,126172139,kWh/d
2015-01-30,126172139,kWh/d
2015-01-31,126172139,kWh/d
2015-02-01,126172139,kWh/d
2015-02-02,126172139,kWh/d
2015-02-03,126172139,kWh/d
2015-02-04,126172139,kWh/d
2015-02-05,126172139,kWh/d
2015-02-06,126172139,kWh/d
2015-02-07,126172139,kWh/d
2015-02-08,126172139,kWh/d
2015-02-09,126172139,kWh/d
2015-02-10,126172139,kWh/d
2015-02-11,126172139,kWh/d
2015-02-12,126172139,kWh/d
2015-02-13,126172139,kWh/d
2015-02-14,126172139,kWh/d
2015-02-15,126172139,kWh/d
2015-02-16,126172139,kWh/d
2015-02-17,126172139,kWh/d
2015-02-18,126172139,kWh/d
2015-02-19,126172139,kWh/d
2015-02-20,126172139,kWh/d
2015-02-21,126172139,kWh/d
2015-02-22,126172139,kWh/d
2015-02-23,126172139,kWh/d
2015-02-24,126172139,kWh/d
2015-02-25,126172139,kWh/d
2015-02-26,126172139,kWh/d
2015-02-27,126172139,kWh/d
2015-02-28,126172139,kWh/d
2015-03-01,81416320,kWh/d
2015-03-02,81416320,kWh/d
2015-03-03,81416320,kWh/d
2015-03-04,81416320,kWh/d
2015-03-05,81416320,kWh/d
2015-03-06,81416320,kWh/d
2015-03-07,81416320,kWh/d
2015-03-08,81416320,kWh/d
2015-03-09,81416320,kWh/d
2015-03-10,81416320,kWh/d
2015-03-11,81416320,kWh/d
2015-03-12,81416320,kWh/d
2015-03-13,81416320,kWh/d
2015-03-14,81416320,kWh/d
2015-03-15,81416320,kWh/d
2015-03-16,81416320,kWh/d
2015-03-17,81416320,kWh/d
2015-03-18,81416320,kWh/d
2015-03-19,81416320,kWh/d
2015-03-20,81416320,kWh/d
2015-03-21,81416320,kWh/d
2015-03-22,81416320,kWh/d
2015-03-23,81416320,kWh/d
2015-03-24,81416320,kWh/d
2015-03-25,81416320,kWh/d
2015-03-26,81416320,kWh/d
2015-03-27,81416320,kWh/d
2015-03-28,81416320,kWh/d
2015-03-29,81416320,kWh/d
2015-03-30,81416320,kWh/d
2015-03-31,81416320,kWh/d
2015-04-01,81416320,kWh/d
2015-04-02,81416320,kWh/d
2015-04-03,81416320,kWh/d
2015-04-04,81416320,kWh/d
2015-04-05,81416320,kWh/d
2015-04-06,81416320,kWh/d
2015-04-07,81416320,kWh/d
2015-04-08,81416320,kWh/d
2015-04-09,81416320,kWh/d
2015-04-10,81416320,kWh/d
2015-04-11,81416320,kWh/d
2015-04-12,81416320,kWh/d
2015-04-13,81416320,kWh/d
2015-04-14,81416320,kWh/d
2015-04-15,81416320,kWh/d
2015-04-16,81416320,kWh/d
2015-04-17,81416320,kWh/d
2015-04-18,81416320,kWh/d
2015-04-19,81416320,kWh/d
2015-04-20,81416320,kWh/d
2015-04-21,81416320,kWh/d
2015-04-22,81416320,kWh/d
2015-04-23,81416320,kWh/d
2015-04-24,81416320,kWh/d
2015-04-25,81416320,kWh/d
2015-04-26,81416320,kWh/d
2015-04-27,81416320,kWh/d
2015-04-28,81416320,kWh/d
2015-04-29,81416320,kWh/d
