Date,City,Average Temperature
2020-01-01,Barcelona,9.0
2020-01-02,Barcelona,9.1
2020-01-03,Barcelona,9.7
2020-01-04,Barcelona,9.6
2020-01-05,Barcelona,10.5
2020-01-06,Barcelona,10.1
2020-01-07,Barcelona,10.1
2020-01-08,Barcelona,10.8
2020-01-09,Barcelona,10.2
2020-01-10,Barcelona,9.8
2020-01-11,Barcelona,8.7
2020-01-12,Barcelona,8.3
2020-01-13,Barcelona,9.3
2020-01-14,Barcelona,9.8
2020-01-15,Barcelona,9.7
2020-01-16,Barcelona,10.2
2020-01-17,Barcelona,13.1
2020-01-18,Barcelona,11.0
2020-01-19,Barcelona,10.4
2020-01-20,Barcelona,9.0
2020-01-21,Barcelona,10.4
2020-01-22,Barcelona,12.4
2020-01-23,Barcelona,12.2
2020-01-24,Barcelona,10.9
2020-01-25,Barcelona,12.5
2020-01-26,Barcelona,12.1
2020-01-27,Barcelona,11.8
2020-01-28,Barcelona,13.9
2020-01-29,Barcelona,12.0
2020-01-30,Barcelona,13.5
2020-01-31,Barcelona,14.1
