Date,City,Average Temperature
2020-01-01,Madrid,6.0
2020-01-02,Madrid,5.5
2020-01-03,Madrid,3.5
2020-01-04,Madrid,6.4
2020-01-05,Madrid,5.8
2020-01-06,Madrid,6.0
2020-01-07,Madrid,6.1
2020-01-08,Madrid,7.2
2020-01-09,Madrid,7.4
2020-01-10,Madrid,7.2
2020-01-11,Madrid,5.2
2020-01-12,Madrid,3.5
2020-01-13,Madrid,2.8
2020-01-14,Madrid,3.2
2020-01-15,Madrid,6.0
2020-01-16,Madrid,9.0
2020-01-17,Madrid,8.5
2020-01-18,Madrid,6.8
2020-01-19,Madrid,6.4
2020-01-20,Madrid,4.0
2020-01-21,Madrid,4.9
2020-01-22,Madrid,6.3
2020-01-23,Madrid,6.5
2020-01-24,Madrid,7.2
2020-01-25,Madrid,7.5
2020-01-26,Madrid,6.3
2020-01-27,Madrid,5.7
2020-01-28,Madrid,10.2
2020-01-29,Madrid,11.0
2020-01-30,Madrid,9.7
2020-01-31,Madrid,11.3
