Date,City,Average Temperature
2020-01-01,Malaga,11.6
2020-01-02,Malaga,11.6
2020-01-03,Malaga,11.2
2020-01-04,Malaga,11.6
2020-01-05,Malaga,13.8
2020-01-06,Malaga,11.0
2020-01-07,Malaga,10.0
2020-01-08,Malaga,9.9
2020-01-09,Malaga,12.1
2020-01-10,Malaga,13.4
2020-01-11,Malaga,11.2
2020-01-12,Malaga,10.9
2020-01-13,Malaga,10.3
2020-01-14,Malaga,10.9
2020-01-15,Malaga,12.0
2020-01-16,Malaga,11.5
2020-01-17,Malaga,13.1
2020-01-18,Malaga,12.1
2020-01-19,Malaga,13.2
2020-01-20,Malaga,9.2
2020-01-21,Malaga,10.7
2020-01-22,Malaga,11.2
2020-01-23,Malaga,12.7
2020-01-24,Malaga,12.3
2020-01-25,Malaga,11.7
2020-01-26,Malaga,12.3
2020-01-27,Malaga,12.9
2020-01-28,Malaga,15.8
2020-01-29,Malaga,15.4
2020-01-30,Malaga,16.4
2020-01-31,Malaga,17.5
