Date,City,Average Temperature
2015-01-01,Malaga,12.1
2015-01-02,Malaga,9.7
2015-01-03,Malaga,9.4
2015-01-04,Malaga,9.9
2015-01-05,Malaga,9.9
2015-01-06,Malaga,10.7
2015-01-07,Malaga,12.0
2015-01-08,Malaga,12.7
2015-01-09,Malaga,12.9
2015-01-10,Malaga,10.6
2015-01-11,Malaga,14.4
2015-01-12,Malaga,12.9
2015-01-13,Malaga,12.7
2015-01-14,Malaga,13.0
2015-01-15,Malaga,12.7
2015-01-16,Malaga,12.1
2015-01-17,Malaga,9.9
2015-01-18,Malaga,8.2
2015-01-19,Malaga,10.2
2015-01-20,Malaga,7.7
2015-01-21,Malaga,9.6
2015-01-22,Malaga,10.7
2015-01-23,Malaga,9.7
2015-01-24,Malaga,11.5
2015-01-25,Malaga,13.2
2015-01-26,Malaga,13.1
2015-01-27,Malaga,12.8
2015-01-28,Malaga,15.0
2015-01-29,Malaga,14.6
2015-01-30,Malaga,17.5
2015-01-31,Malaga,16.1
2015-02-01,Malaga,10.1
2015-02-02,Malaga,10.7
2015-02-03,Malaga,14.0
2015-02-04,Malaga,11.1
2015-02-05,Malaga,8.8
2015-02-06,Malaga,7.7
2015-02-07,Malaga,6.7
2015-02-08,Malaga,9.7
2015-02-09,Malaga,10.1
2015-02-10,Malaga,13.1
2015-02-11,Malaga,12.1
2015-02-12,Malaga,11.6
2015-02-13,Malaga,12.6
2015-02-14,Malaga,13.1
2015-02-15,Malaga,14.5
2015-02-16,Malaga,13.6
2015-02-17,Malaga,10.4
2015-02-18,Malaga,11.8
2015-02-19,Malaga,11.6
2015-02-20,Malaga,11.6
2015-02-21,Malaga,12.7
2015-02-22,Malaga,14.6
2015-02-23,Malaga,15.2
2015-02-24,Malaga,14.2
2015-02-25,Malaga,14.5
2015-02-26,Malaga,17.8
2015-02-27,Malaga,16.6
2015-02-28,Malaga,17.0
2015-03-01,Malaga,18.2
2015-03-02,Malaga,17.7
2015-03-03,Malaga,16.7
2015-03-04,Malaga,16.2
2015-03-05,Malaga,13.9
2015-03-06,Malaga,10.8
2015-03-07,Malaga,11.0
2015-03-08,Malaga,11.4
2015-03-09,Malaga,12.8
2015-03-10,Malaga,12.5
2015-03-11,Malaga,13.6
2015-03-12,Malaga,17.2
2015-03-13,Malaga,16.5
2015-03-14,Malaga,14.5
2015-03-15,Malaga,14.1
2015-03-16,Malaga,13.3
2015-03-17,Malaga,13.6
2015-03-18,Malaga,11.9
2015-03-19,Malaga,12.7
2015-03-20,Malaga,12.5
2015-03-21,Malaga,12.7
2015-03-22,Malaga,12.7
2015-03-23,Malaga,13.2
2015-03-24,Malaga,12.3
2015-03-25,Malaga,13.9
2015-03-26,Malaga,14.3
2015-03-27,Malaga,19.9
2015-03-28,Malaga,23.8
2015-03-29,Malaga,24.5
2015-03-30,Malaga,23.9
2015-03-31,Malaga,22.1
2015-04-01,Malaga,18.6
2015-04-02,Malaga,15.9
2015-04-03,Malaga,15.9
2015-04-04,Malaga,15.5
2015-04-05,Malaga,16.7
2015-04-06,Malaga,16.4
2015-04-07,Malaga,15.8
2015-04-08,Malaga,15.3
2015-04-09,Malaga,14.6
2015-04-10,Malaga,15.7
2015-04-11,Malaga,14.9
2015-04-12,Malaga,16.3
2015-04-13,Malaga,17.4
2015-04-14,Malaga,15.8
2015-04-15,Malaga,16.7
2015-04-16,Malaga,18.5
2015-04-17,Malaga,17.9
2015-04-18,Malaga,18.5
2015-04-19,Malaga,19.8
2015-04-20,Malaga,16.7
2015-04-21,Malaga,17.0
2015-04-22,Malaga,18.0
2015-04-23,Malaga,18.0
2015-04-24,Malaga,16.8
2015-04-25,Malaga,21.2
2015-04-26,Malaga,19.1
2015-04-27,Malaga,18.9
2015-04-28,Malaga,19.4
2015-04-29,Malaga,21.5
2015-04-30,Malaga,21.1
2015-05-01,Malaga,18.6
2015-05-02,Malaga,20.6
2015-05-03,Malaga,21.3
2015-05-04,Malaga,23.2
2015-05-05,Malaga,22.4
2015-05-06,Malaga,21.6
2015-05-07,Malaga,19.2
2015-05-08,Malaga,22.8
2015-05-09,Malaga,23.5
2015-05-10,Malaga,22.6
2015-05-11,Malaga,20.5
2015-05-12,Malaga,19.7
2015-05-13,Malaga,20.8
2015-05-14,Malaga,25.1
2015-05-15,Malaga,23.3
2015-05-16,Malaga,20.9
2015-05-17,Malaga,20.2
2015-05-18,Malaga,20.9
2015-05-19,Malaga,24.5
2015-05-20,Malaga,21.3
2015-05-21,Malaga,19.8
2015-05-22,Malaga,19.2
2015-05-23,Malaga,20.3
2015-05-24,Malaga,19.1
2015-05-25,Malaga,19.5
2015-05-26,Malaga,19.4
2015-05-27,Malaga,20.4
2015-05-28,Malaga,22.2
2015-05-29,Malaga,22.7
2015-05-30,Malaga,21.7
2015-05-31,Malaga,22.5
2015-06-01,Malaga,22.9
2015-06-02,Malaga,22.5
2015-06-03,Malaga,23.1
2015-06-04,Malaga,22.4
2015-06-05,Malaga,22.5
2015-06-06,Malaga,22.9
2015-06-07,Malaga,23.0
2015-06-08,Malaga,23.8
2015-06-09,Malaga,24.1
2015-06-10,Malaga,23.9
2015-06-11,Malaga,24.1
2015-06-12,Malaga,23.5
2015-06-13,Malaga,21.9
2015-06-14,Malaga,21.5
2015-06-15,Malaga,20.9
2015-06-16,Malaga,23.0
2015-06-17,Malaga,22.0
2015-06-18,Malaga,22.6
2015-06-19,Malaga,23.0
2015-06-20,Malaga,23.7
2015-06-21,Malaga,24.7
2015-06-22,Malaga,23.7
2015-06-23,Malaga,28.7
2015-06-24,Malaga,26.2
2015-06-25,Malaga,24.1
2015-06-26,Malaga,25.2
2015-06-27,Malaga,26.4
2015-06-28,Malaga,26.7
2015-06-29,Malaga,25.2
2015-06-30,Malaga,28.6
2015-07-01,Malaga,25.8
2015-07-02,Malaga,26.3
2015-07-03,Malaga,25.9
2015-07-04,Malaga,26.3
2015-07-05,Malaga,26.7
2015-07-06,Malaga,28.4
2015-07-07,Malaga,30.0
2015-07-08,Malaga,30.0
2015-07-09,Malaga,27.2
2015-07-10,Malaga,26.7
2015-07-11,Malaga,28.2
2015-07-12,Malaga,26.8
2015-07-13,Malaga,25.1
2015-07-14,Malaga,26.2
2015-07-15,Malaga,26.4
2015-07-16,Malaga,28.0
2015-07-17,Malaga,29.0
2015-07-18,Malaga,28.3
2015-07-19,Malaga,28.1
2015-07-20,Malaga,27.9
2015-07-21,Malaga,27.9
2015-07-22,Malaga,30.0
2015-07-23,Malaga,28.7
2015-07-24,Malaga,31.8
2015-07-25,Malaga,31.9
2015-07-26,Malaga,26.8
2015-07-27,Malaga,27.7
2015-07-28,Malaga,28.0
2015-07-29,Malaga,28.2
2015-07-30,Malaga,32.0
2015-07-31,Malaga,27.6
2015-08-01,Malaga,27.7
2015-08-02,Malaga,28.9
2015-08-03,Malaga,28.7
2015-08-04,Malaga,28.2
2015-08-05,Malaga,28.0
2015-08-06,Malaga,28.9
2015-08-07,Malaga,30.5
2015-08-08,Malaga,30.6
2015-08-09,Malaga,29.4
2015-08-10,Malaga,29.2
2015-08-11,Malaga,29.4
2015-08-12,Malaga,29.6
2015-08-13,Malaga,32.0
2015-08-14,Malaga,29.1
2015-08-15,Malaga,29.3
2015-08-16,Malaga,26.6
2015-08-17,Malaga,29.1
2015-08-18,Malaga,25.7
2015-08-19,Malaga,25.5
2015-08-20,Malaga,27.5
2015-08-21,Malaga,27.3
2015-08-22,Malaga,26.9
2015-08-23,Malaga,27.1
2015-08-24,Malaga,26.9
2015-08-25,Malaga,25.1
2015-08-26,Malaga,25.0
2015-08-27,Malaga,25.2
2015-08-28,Malaga,25.7
2015-08-29,Malaga,26.6
2015-08-30,Malaga,26.6
2015-08-31,Malaga,26.6
2015-09-01,Malaga,28.6
2015-09-02,Malaga,25.8
2015-09-03,Malaga,25.9
2015-09-04,Malaga,26.0
2015-09-05,Malaga,24.8
2015-09-06,Malaga,24.4
2015-09-07,Malaga,21.9
2015-09-08,Malaga,23.3
2015-09-09,Malaga,24.2
2015-09-10,Malaga,23.5
2015-09-11,Malaga,23.9
2015-09-12,Malaga,24.9
2015-09-13,Malaga,25.9
2015-09-14,Malaga,25.8
2015-09-15,Malaga,24.8
2015-09-16,Malaga,24.6
2015-09-17,Malaga,23.9
2015-09-18,Malaga,22.8
2015-09-19,Malaga,23.5
2015-09-20,Malaga,23.0
2015-09-21,Malaga,22.7
2015-09-22,Malaga,29.1
2015-09-23,Malaga,25.3
2015-09-24,Malaga,22.8
2015-09-25,Malaga,21.9
2015-09-26,Malaga,20.3
2015-09-27,Malaga,21.0
2015-09-28,Malaga,23.3
2015-09-29,Malaga,21.9
2015-09-30,Malaga,20.8
2015-10-01,Malaga,20.7
2015-10-02,Malaga,21.7
2015-10-03,Malaga,22.3
2015-10-04,Malaga,22.7
2015-10-05,Malaga,25.5
2015-10-06,Malaga,24.1
2015-10-07,Malaga,23.2
2015-10-08,Malaga,20.4
2015-10-09,Malaga,19.8
2015-10-10,Malaga,19.5
2015-10-11,Malaga,19.8
2015-10-12,Malaga,20.3
2015-10-13,Malaga,20.4
2015-10-14,Malaga,21.8
2015-10-15,Malaga,20.5
2015-10-16,Malaga,20.5
2015-10-17,Malaga,20.8
2015-10-18,Malaga,20.4
2015-10-19,Malaga,19.5
2015-10-20,Malaga,20.0
2015-10-21,Malaga,21.4
2015-10-22,Malaga,19.5
2015-10-23,Malaga,19.7
2015-10-24,Malaga,19.1
2015-10-25,Malaga,20.0
2015-10-26,Malaga,19.5
2015-10-27,Malaga,18.2
2015-10-28,Malaga,17.1
2015-10-29,Malaga,18.2
2015-10-30,Malaga,17.6
2015-10-31,Malaga,20.1
2015-11-01,Malaga,19.7
2015-11-02,Malaga,17.1
2015-11-03,Malaga,17.8
2015-11-04,Malaga,18.7
2015-11-05,Malaga,19.1
2015-11-06,Malaga,18.3
2015-11-07,Malaga,18.0
2015-11-08,Malaga,18.2
2015-11-09,Malaga,18.0
2015-11-10,Malaga,17.6
2015-11-11,Malaga,16.6
2015-11-12,Malaga,16.8
2015-11-13,Malaga,17.7
2015-11-14,Malaga,18.1
2015-11-15,Malaga,17.5
2015-11-16,Malaga,17.5
2015-11-17,Malaga,16.8
2015-11-18,Malaga,14.7
2015-11-19,Malaga,14.3
2015-11-20,Malaga,15.8
2015-11-21,Malaga,18.9
2015-11-22,Malaga,13.1
2015-11-23,Malaga,12.6
2015-11-24,Malaga,12.3
2015-11-25,Malaga,15.3
2015-11-26,Malaga,18.1
2015-11-27,Malaga,17.2
2015-11-28,Malaga,13.4
2015-11-29,Malaga,13.5
2015-11-30,Malaga,13.9
2015-12-01,Malaga,13.2
2015-12-02,Malaga,13.1
2015-12-03,Malaga,13.4
2015-12-04,Malaga,13.6
2015-12-05,Malaga,14.2
2015-12-06,Malaga,14.5
2015-12-07,Malaga,15.3
2015-12-08,Malaga,13.4
2015-12-09,Malaga,14.2
2015-12-10,Malaga,16.9
2015-12-11,Malaga,16.8
2015-12-12,Malaga,14.2
2015-12-13,Malaga,13.4
2015-12-14,Malaga,13.6
2015-12-15,Malaga,12.8
2015-12-16,Malaga,13.1
2015-12-17,Malaga,13.9
2015-12-18,Malaga,12.8
2015-12-19,Malaga,12.2
2015-12-20,Malaga,12.5
2015-12-21,Malaga,13.7
2015-12-22,Malaga,15.0
2015-12-23,Malaga,15.2
2015-12-24,Malaga,14.4
2015-12-25,Malaga,13.2
2015-12-26,Malaga,15.0
2015-12-27,Malaga,16.3
2015-12-28,Malaga,14.7
2015-12-29,Malaga,15.2
2015-12-30,Malaga,14.5
2015-12-31,Malaga,17.3
2016-01-01,Malaga,14.3
2016-01-02,Malaga,15.2
2016-01-03,Malaga,16.4
2016-01-04,Malaga,17.5
2016-01-05,Malaga,14.7
