Date,Product,TradeDate,LastPriceDaily [EUR/MWh],DailyTradingVolume [MWh/d]
2015-12-17,DA,2015-12-16,19.55,50.0
2015-12-19,DA,2015-12-18,19.4,50.0
2015-12-30,DA,2015-12-29,19.25,1100.0
2016-01-06,DA,2016-01-05,19.0,500.0
2016-01-08,DA,2016-01-07,18.75,81.0
2016-01-13,DA,2016-01-12,18.5,10.0
2016-01-15,DA,2016-01-14,17.69,2900.0
2016-01-16,DA,2016-01-15,17.52,2935.0
2016-01-17,DA,2016-01-16,17.49,2900.0
2016-01-18,DA,2016-01-17,17.38,2900.0
2016-01-19,DA,2016-01-18,16.8,3200.0
2016-01-20,DA,2016-01-19,17.69,3000.0
2016-01-21,DA,2016-01-20,17.4,2700.0
2016-01-22,DA,2016-01-21,16.94,2500.0
2016-01-23,DA,2016-01-22,16.9,3200.0
2016-01-24,DA,2016-01-23,16.62,3000.0
2016-01-25,DA,2016-01-24,16.79,2500.0
2016-01-26,DA,2016-01-25,16.76,2500.0
2016-01-27,DA,2016-01-26,16.79,3000.0
2016-01-28,DA,2016-01-27,16.98,3100.0
2016-01-29,DA,2016-01-28,16.98,3100.0
2016-01-30,DA,2016-01-29,16.97,3300.0
2016-01-31,DA,2016-01-30,16.83,3300.0
2016-02-01,DA,2016-01-31,16.93,3300.0
2016-02-02,DA,2016-02-01,16.93,3313.0
2016-02-03,DA,2016-02-02,16.93,3100.0
2016-02-04,DA,2016-02-03,16.6,3229.0
2016-02-05,DA,2016-02-04,16.89,2530.0
2016-02-06,DA,2016-02-05,16.19,2230.0
2016-02-07,DA,2016-02-06,16.0,2130.0
2016-02-08,DA,2016-02-07,16.24,2130.0
2016-02-09,DA,2016-02-08,16.55,2430.0
2016-02-10,DA,2016-02-09,16.73,2130.0
2016-02-11,DA,2016-02-10,16.4,5630.0
2016-02-12,DA,2016-02-11,16.0,6000.0
2016-02-13,DA,2016-02-12,15.98,2200.0
2016-02-14,DA,2016-02-13,15.97,2301.0
2016-02-15,DA,2016-02-14,16.62,2200.0
2016-02-16,DA,2016-02-15,16.15,2300.0
2016-02-17,DA,2016-02-16,16.14,2300.0
2016-02-18,DA,2016-02-17,16.2,3300.0
2016-02-19,DA,2016-02-18,16.35,2400.0
2016-02-20,DA,2016-02-19,16.04,2000.0
2016-02-21,DA,2016-02-20,16.04,1800.0
2016-02-22,DA,2016-02-21,16.24,1500.0
2016-02-23,DA,2016-02-22,16.29,2000.0
2016-02-24,DA,2016-02-23,16.18,2500.0
2016-02-25,DA,2016-02-24,16.21,3869.0
2016-02-26,DA,2016-02-25,16.2,2649.0
2016-02-27,DA,2016-02-26,16.18,1823.0
2016-02-28,DA,2016-02-27,16.04,1823.0
2016-02-29,DA,2016-02-28,16.2,2123.0
2016-03-01,DA,2016-02-29,16.24,2100.0
2016-03-02,DA,2016-03-01,16.0,2350.0
2016-03-03,DA,2016-03-02,16.1,2150.0
2016-03-04,DA,2016-03-03,15.7,3000.0
2016-03-05,DA,2016-03-04,15.5,4970.0
2016-03-06,DA,2016-03-05,16.4,2668.0
2016-03-07,DA,2016-03-06,16.38,2668.0
2016-03-08,DA,2016-03-07,16.04,1600.0
2016-03-09,DA,2016-03-08,15.75,3100.0
2016-03-10,DA,2016-03-09,16.15,3500.0
2016-03-11,DA,2016-03-10,16.1,2000.0
2016-03-12,DA,2016-03-11,16.1,1562.0
2016-03-13,DA,2016-03-12,16.15,1482.0
2016-03-14,DA,2016-03-13,16.35,1712.0
2016-03-15,DA,2016-03-14,16.05,2942.0
2016-03-16,DA,2016-03-15,16.15,3200.0
2016-03-17,DA,2016-03-16,16.15,2700.0
2016-03-18,DA,2016-03-17,16.0,2900.0
2016-03-19,DA,2016-03-18,16.05,2176.0
2016-03-20,DA,2016-03-19,15.94,1356.0
2016-03-21,DA,2016-03-20,16.14,2356.0
2016-03-22,DA,2016-03-21,15.94,2556.0
2016-03-23,DA,2016-03-22,15.83,2100.0
2016-03-24,DA,2016-03-23,15.6,2082.0
2016-03-25,DA,2016-03-24,15.69,1432.0
2016-03-26,DA,2016-03-25,15.54,1432.0
2016-03-27,DA,2016-03-26,15.52,1432.0
2016-03-28,DA,2016-03-27,15.39,1432.0
2016-03-29,DA,2016-03-28,15.0,1800.0
2016-03-30,DA,2016-03-29,14.99,1400.0
2016-03-31,DA,2016-03-30,14.89,1425.0
2016-04-01,DA,2016-03-31,14.5,1150.0
2016-04-02,DA,2016-04-01,13.85,2500.0
2016-04-03,DA,2016-04-02,13.5,3300.0
2016-04-04,DA,2016-04-03,13.73,1800.0
2016-04-05,DA,2016-04-04,13.64,1800.0
2016-04-06,DA,2016-04-05,13.5,3500.0
2016-04-07,DA,2016-04-06,13.55,3500.0
2016-04-08,DA,2016-04-07,13.49,3500.0
2016-04-09,DA,2016-04-08,13.24,1530.0
2016-04-10,DA,2016-04-09,13.1,1500.0
2016-04-11,DA,2016-04-10,13.0,1800.0
2016-04-12,DA,2016-04-11,13.25,3050.0
2016-04-13,DA,2016-04-12,13.04,2400.0
2016-04-14,DA,2016-04-13,13.3,2585.0
2016-04-15,DA,2016-04-14,13.04,2000.0
2016-04-16,DA,2016-04-15,12.88,1530.0
2016-04-17,DA,2016-04-16,12.74,1500.0
2016-04-18,DA,2016-04-17,12.78,2000.0
2016-04-19,DA,2016-04-18,12.0,1740.0
2016-04-20,DA,2016-04-19,12.85,1300.0
2016-04-21,DA,2016-04-20,12.9,1506.0
2016-04-22,DA,2016-04-21,13.5,3109.0
2016-04-23,DA,2016-04-22,13.9,1461.0
2016-04-24,DA,2016-04-23,13.45,436.0
2016-04-25,DA,2016-04-24,13.65,950.0
2016-04-26,DA,2016-04-25,13.65,4390.0
2016-04-27,DA,2016-04-26,14.5,2350.0
2016-04-28,DA,2016-04-27,15.05,3340.0
2016-04-29,DA,2016-04-28,14.5,1422.0
2016-04-30,DA,2016-04-29,13.6,1800.0
2016-05-01,DA,2016-04-30,13.7,1300.0
2016-05-02,DA,2016-05-01,13.8,1345.0
2016-05-03,DA,2016-05-02,13.79,1305.0
2016-05-04,DA,2016-05-03,13.5,1398.0
2016-05-05,DA,2016-05-04,12.72,1737.0
2016-05-06,DA,2016-05-05,12.65,3035.0
2016-05-07,DA,2016-05-06,12.39,4382.0
2016-05-08,DA,2016-05-07,13.2,1800.0
2016-05-09,DA,2016-05-08,12.5,2232.0
2016-05-10,DA,2016-05-09,12.9,3226.0
2016-05-11,DA,2016-05-10,12.7,2190.0
2016-05-12,DA,2016-05-11,13.45,3345.0
2016-05-13,DA,2016-05-12,13.25,1440.0
2016-05-14,DA,2016-05-13,13.3,6056.0
2016-05-15,DA,2016-05-14,12.74,500.0
2016-05-16,DA,2016-05-15,12.7,1000.0
2016-05-17,DA,2016-05-16,12.7,1160.0
2016-05-18,DA,2016-05-17,13.25,1790.0
2016-05-19,DA,2016-05-18,13.25,1340.0
2016-05-20,DA,2016-05-19,13.5,5006.0
2016-05-21,DA,2016-05-20,13.2,5470.0
2016-05-22,DA,2016-05-21,13.6,1000.0
2016-05-23,DA,2016-05-22,13.74,1000.0
2016-05-24,DA,2016-05-23,13.49,3240.0
2016-05-25,DA,2016-05-24,13.65,3240.0
2016-05-26,DA,2016-05-25,13.8,2240.0
2016-05-27,DA,2016-05-26,13.75,3106.0
2016-05-28,DA,2016-05-27,14.7,2641.0
2016-05-29,DA,2016-05-28,14.2,1000.0
2016-05-30,DA,2016-05-29,13.95,1000.0
2016-05-31,DA,2016-05-30,14.05,3237.0
2016-06-01,DA,2016-05-31,14.27,2002.0
2016-06-02,DA,2016-06-01,14.25,1307.0
2016-06-03,DA,2016-06-02,14.05,1246.0
2016-06-04,DA,2016-06-03,14.25,2010.0
2016-06-05,DA,2016-06-04,14.25,1500.0
