Date,GWh
01-jan-2020,-150
02-jan-2020,-320
03-jan-2020,-350
04-jan-2020,-325
05-jan-2020,-320
06-jan-2020,-160
07-jan-2020,-275
08-jan-2020,-350
09-jan-2020,-345
10-jan-2020,-340
11-jan-2020,-240
12-jan-2020,-155
13-jan-2020,-340
14-jan-2020,-345
15-jan-2020,-345
16-jan-2020,-340
17-jan-2020,-340
18-jan-2020,-220
19-jan-2020,-150
20-jan-2020,-310
21-jan-2020,-315
22-jan-2020,-315
23-jan-2020,-310
24-jan-2020,-305
25-jan-2020,-190
26-jan-2020,-140
27-jan-2020,-305
28-jan-2020,-315
29-jan-2020,-315
30-jan-2020,-310
31-jan-2020,-300
