Date,Asset,MeasureName,Value,Unit
2020-01-01,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-02,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-03,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-04,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-05,Barcelona,LNG Unloaded,146000.0,m3 LNG
2020-01-06,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-07,Barcelona,LNG Unloaded,129000.0,m3 LNG
2020-01-08,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-09,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-10,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-11,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-12,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-13,Barcelona,LNG Unloaded,150000.0,m3 LNG
2020-01-14,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-15,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-16,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-17,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-18,Barcelona,LNG Unloaded,135000.0,m3 LNG
2020-01-19,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-20,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-21,Barcelona,LNG Unloaded,146000.0,m3 LNG
2020-01-22,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-23,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-24,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-25,Barcelona,LNG Unloaded,160000.0,m3 LNG
2020-01-26,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-27,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-28,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-29,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-30,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-31,Barcelona,LNG Unloaded,0.0,m3 LNG
2020-01-01,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-02,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-03,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-04,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-05,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-06,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-07,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-08,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-09,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-10,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-11,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-12,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-13,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-14,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-15,Barcelona,LNG Loaded,7000.0,m3 LNG
2020-01-16,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-17,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-18,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-19,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-20,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-21,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-22,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-23,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-24,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-25,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-26,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-27,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-28,Barcelona,LNG Loaded,6500.0,m3 LNG
2020-01-29,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-30,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-31,Barcelona,LNG Loaded,0.0,m3 LNG
2020-01-01,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-02,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-03,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-04,Cartagena,LNG Unloaded,137000.0,m3 LNG
2020-01-05,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-06,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-07,Cartagena,LNG Unloaded,142000.0,m3 LNG
2020-01-08,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-09,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-10,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-11,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-12,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-13,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-14,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-15,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-16,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-17,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-18,Cartagena,LNG Unloaded,142000.0,m3 LNG
2020-01-19,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-20,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-21,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-22,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-23,Cartagena,LNG Unloaded,0.0,m3 LNG
2020-01-24,Cartagena,LNG Unloaded,0.0,m3 LNG
